Date,Area,DataSeries,OBS_Value
2003-03-01,IT,Lead_zinc_tin_prod,261.4
2003-02-01,IT,Lead_zinc_tin_prod,226.5
2003-01-01,IT,Lead_zinc_tin_prod,228.2
2002-12-01,IT,Lead_zinc_tin_prod,222.4
2002-11-01,IT,Lead_zinc_tin_prod,253.2
2002-10-01,IT,Lead_zinc_tin_prod,268.7
2002-09-01,IT,Lead_zinc_tin_prod,239.5
2002-08-01,IT,Lead_zinc_tin_prod,96.0
2002-07-01,IT,Lead_zinc_tin_prod,174.7
2002-06-01,IT,Lead_zinc_tin_prod,219.0
2002-05-01,IT,Lead_zinc_tin_prod,162.4
2002-04-01,IT,Lead_zinc_tin_prod,180.9
2002-03-01,IT,Lead_zinc_tin_prod,177.0
2002-02-01,IT,Lead_zinc_tin_prod,156.1
2002-01-01,IT,Lead_zinc_tin_prod,179.3
2001-12-01,IT,Lead_zinc_tin_prod,241.8
2001-11-01,IT,Lead_zinc_tin_prod,237.4
2001-10-01,IT,Lead_zinc_tin_prod,238.3
2001-09-01,IT,Lead_zinc_tin_prod,230.1
2001-08-01,IT,Lead_zinc_tin_prod,137.3
2001-07-01,IT,Lead_zinc_tin_prod,196.7
2001-06-01,IT,Lead_zinc_tin_prod,191.0
2001-05-01,IT,Lead_zinc_tin_prod,256.5
2001-04-01,IT,Lead_zinc_tin_prod,179.6
2001-03-01,IT,Lead_zinc_tin_prod,267.6
2001-02-01,IT,Lead_zinc_tin_prod,240.2
2001-01-01,IT,Lead_zinc_tin_prod,209.9
2000-12-01,IT,Lead_zinc_tin_prod,207.4
2000-11-01,IT,Lead_zinc_tin_prod,237.8
2000-10-01,IT,Lead_zinc_tin_prod,257.9
2000-09-01,IT,Lead_zinc_tin_prod,222.6
2000-08-01,IT,Lead_zinc_tin_prod,163.7
2000-07-01,IT,Lead_zinc_tin_prod,208.3
2000-06-01,IT,Lead_zinc_tin_prod,221.8
2000-05-01,IT,Lead_zinc_tin_prod,254.0
2000-04-01,IT,Lead_zinc_tin_prod,229.7
2000-03-01,IT,Lead_zinc_tin_prod,278.6
2000-02-01,IT,Lead_zinc_tin_prod,224.4
2000-01-01,IT,Lead_zinc_tin_prod,237.8
1999-12-01,IT,Lead_zinc_tin_prod,214.3
1999-11-01,IT,Lead_zinc_tin_prod,231.1
1999-10-01,IT,Lead_zinc_tin_prod,254.8
1999-09-01,IT,Lead_zinc_tin_prod,220.1
1999-08-01,IT,Lead_zinc_tin_prod,139.4
1999-07-01,IT,Lead_zinc_tin_prod,210.5
1999-06-01,IT,Lead_zinc_tin_prod,244.8
1999-05-01,IT,Lead_zinc_tin_prod,217.5
1999-04-01,IT,Lead_zinc_tin_prod,226.4
1999-03-01,IT,Lead_zinc_tin_prod,216.3
1999-02-01,IT,Lead_zinc_tin_prod,214.3
1999-01-01,IT,Lead_zinc_tin_prod,191.1
1998-12-01,IT,Lead_zinc_tin_prod,183.6
1998-11-01,IT,Lead_zinc_tin_prod,208.9
1998-10-01,IT,Lead_zinc_tin_prod,224.9
1998-09-01,IT,Lead_zinc_tin_prod,249.4
1998-08-01,IT,Lead_zinc_tin_prod,188.6
1998-07-01,IT,Lead_zinc_tin_prod,281.7
1998-06-01,IT,Lead_zinc_tin_prod,284.0
1998-05-01,IT,Lead_zinc_tin_prod,301.4
